cluster,id
44,49017
83,88
66,1368
11,47933
24,238713
53,11544
65,1018
112,39538
15,80321
11,424783
63,20504
10,302946
51,788
10,242
2,8467
126,2300
9,1572
108,242224
117,1637
14,401981
30,7446
15,13053
21,254320
2,38365
6,87502
20,509
65,345
82,333484
99,38575
144,497582
82,57201
9,545609
20,1597
88,31011
6,306819
9,370172
84,181533
11,299687
43,373571
179,1250
11,505642
144,302699
11,436270
108,13885
92,36647
126,22794
53,10895
21,83666
11,80274
34,1813
28,460465
45,346685
170,7131
128,755
36,423108
13,389015
2,76493
6,334541
11,1927
14,181886
144,445571
32,228967
21,8488
9,1571
188,324668
57,2034
9,260346
116,628
180,159824
11,8247
9,49040
31,274857
96,140300
4,235
39,3049
27,10530
120,39513
10,388
179,400106
49,570670
148,762
9,1573
20,50546
15,260514
36,396422
80,9340
0,527641
14,426
11,861
4,524
68,17431
53,3170
11,507086
11,49529
55,72559
180,856
11,545611
142,855
28,451048
101,10140
161,12162
42,338967
194,117
59,307081
40,1584
2,1624
132,2675
27,105864
24,512195
55,44833
63,97020
0,345920
97,9654
101,630
150,935
188,27576
118,10386
61,251
132,157353
9,37710
18,4523
40,254470
5,4553
1,9532
29,522627
10,1538
148,346698
82,335787
75,8077
53,10198
0,613504
191,1579
13,41733
89,15
186,17578
11,624860
36,82507
169,75
59,480530
12,568
27,10009
7,10693
22,948
188,225574
13,400928
122,107985
55,1635
12,82695
7,9444
2,496
11,447365
4,4982
84,879
0,289
143,8961
131,316727
6,2567
105,13811
26,4108
12,369972
112,76726
35,44264
36,21208
89,286565
53,10340
4,311
101,76285
195,375262
6,85350
43,754
158,718930
15,10315
1,215
50,332567
9,107846
2,16996
140,10882
28,11253
97,414
66,6637
12,399404
72,10096
126,9836
28,311324
45,395834
55,453405
44,9480
63,49849
21,43347
9,1991
80,11774
11,338762
0,454
41,23827
46,9509
43,49049
15,10112
43,353491
181,81005
1,201085
43,290859
6,60308
26,345887
58,8321
26,603692
28,27022
10,22803
21,634
49,5876
26,637649
1,6114
183,415
9,447200
10,23168
1,377
53,10545
66,138103
88,297
4,504172
96,324849
20,1581
53,11360
20,544
156,9880
99,290595
103,253412
20,2770
4,97367
144,661374
125,268896
86,1491
10,4547
15,5559
58,308266
126,7443
9,343611
180,508947
2,9377
122,479455
138,88751
12,310307
47,2118
79,559969
63,274855
20,693
39,399174
46,117251
9,267860
2,52449
193,7485
186,569094
179,23629
55,563
20,41630
75,8078
24,2109
41,298312
55,46529
87,1265
63,7551
41,2667
158,509967
50,503919
18,433
93,10947
118,10865
44,36586
105,431
10,9740
55,14869
4,8065
36,522681
22,376570
23,14306
143,34544
198,320
13,4944
175,504608
118,15512
130,428078
44,123553
12,446354
18,8839
11,346910
10,1830
99,20662
10,473033
192,2268
99,147441
161,369885
2,4248
54,7980
15,9023
134,1878
68,227156
66,9802
1,109428
138,675353
59,296524
83,824
20,272693
126,9928
108,133805
112,339988
11,305470
90,38050
4,1427
59,59440
84,2493
13,9428
15,278154
5,1700
140,17979
2,325133
143,941
22,756999
119,97630
63,7299
25,2907
32,37834
126,7518
195,337170
2,71552
15,8916
186,9732
180,6477
97,11322
184,338766
2,291870
24,134374
28,1735
188,399035
6,203833
20,55721
2,9398
62,792
32,514999
194,302401
39,9637
84,10137
63,2787
20,9522
25,224141
2,813
180,400155
21,138697
79,136797
10,9366
157,10830
167,686
78,1907
26,9679
6,249164
6,45317
6,615
6,1374
46,524047
20,9603
128,214
11,640146
36,3021
4,4133
170,395
166,387426
2,583
6,1367
163,501170
28,1996
60,33
162,492
75,1577
17,9426
18,2698
20,9602
11,72545
25,2978
66,476669
95,22971
2,116741
2,109418
53,438695
22,91586
142,193756
0,51828
6,9800
73,567609
192,57165
63,500664
55,9659
148,425909
1,132232
12,321697
2,376659
10,9533
41,588
49,1562
21,164
26,385687
106,3580
48,227306
176,484247
2,356305
2,225886
6,1578
2,227159
66,7451
54,1585
11,1452
143,4327
36,631843
0,4347
175,279
68,840
35,581
13,376660
24,27581
113,205775
13,274479
12,22954
44,547016
2,8699
24,136400
41,397243
15,270946
28,205584
46,5503
24,525
101,338953
61,1903
130,696806
7,9016
79,82682
0,72570
39,134
75,7737
23,9820
20,8273
63,87421
0,10229
65,6947
165,188161
39,9273
44,52520
127,116
94,1495
12,872585
11,72710
22,460019
26,1701
143,146216
6,1371
2,4256
6,205587
101,2270
45,186
163,351460
14,213
63,34851
126,379686
137,8965
43,2789
0,76
179,834
63,8698
25,49524
24,136795
166,34584
82,9342
43,526896
180,228161
73,593643
95,770
131,442249
24,5175
1,571
165,537996
41,4233
28,10196
9,36955
132,569547
21,4964
75,71679
41,9358
55,869
21,639
0,1587
28,590223
100,503736
180,9297
24,90
87,9837
126,8920
18,10719
4,122081
67,515195
126,9982
20,8835
20,3981
36,345911
92,924
29,86838
175,277216
16,6145
28,639933
104,340837
188,48138
0,417678
65,489999
120,7453
24,1493
44,36648
1,764
29,270487
160,198277
77,71
113,75174
71,417859
36,321258
9,7555
21,703
142,2024
53,9078
31,64686
179,9495
99,9313
0,4148
71,508965
93,13649
26,189
179,71676
198,276907
50,805
46,522938
170,35791
66,710
22,301365
71,41513
12,72976
39,257445
41,9286
66,1369
71,529203
145,9392
29,12153
14,2832
2,2123
13,40807
83,9762
20,9919
46,9798
15,11619
18,10330
71,10501
14,402
68,301337
63,10483
2,296099
24,10189
11,1924
35,20766
13,7350
0,5038
21,2898
32,10661
0,258480
45,829
42,19994
6,3558
4,396371
6,1164
44,346672
26,1948
0,77877
65,399057
48,11778
87,481848
180,360920
101,448119
112,1272
13,3082
16,1817
106,4771
161,2253
21,10184
22,16871
39,153518
0,23169
21,455207
22,343674
6,866
27,313297
80,116149
28,274854
6,401104
128,663
20,193610
72,449563
11,9804
0,12163
14,1586
21,462919
179,12437
68,2277
0,22947
43,9739
142,152760
13,371638
158,11665
1,1690
10,4147
42,419479
93,11887
71,136799
20,20943
36,298250
10,37094
172,2280
41,41446
29,37136
55,8810
9,59961
6,87093
26,9335
45,446021
37,853
50,65086
66,646
11,667538
104,762504
55,12244
172,347031
66,658
65,8271
65,397837
90,8645
60,5176
138,308531
42,246741
134,4538
0,419478
10,819
6,334
10,1213
6,160588
9,44048
58,399170
16,985939
53,73723
0,400617
142,300671
20,232672
17,536554
9,204082
68,62215
15,172385
55,16320
27,15969
26,1089
66,36669
36,521029
185,35690
6,1640
161,7445
26,400535
131,1992
20,10591
2,9472
6,881
43,44943
45,9481
9,423204
6,1246
36,277685
197,59962
138,10054
41,4234
103,57212
12,1955
29,109431
171,239
30,9486
6,295964
101,267935
112,10200
21,9870
23,11674
154,457799
112,97370
20,543540
9,725201
0,6023
40,353616
36,280092
66,50456
115,140823
20,458423
54,258230
98,512196
0,2288
182,261023
170,340102
22,256274
128,11917
18,400650
10,241
117,13387
6,258216
41,55779
44,72331
143,942
18,252
11,2164
16,1598
97,314
183,8487
13,429197
8,899082
102,816
26,278924
35,522402
84,381289
0,80
2,9291
21,392
133,76649
126,438148
45,1592
137,718789
159,1541
53,77950
20,259694
158,23631
120,817
47,505026
181,2486
24,58233
150,914
10,499932
71,12222
68,244267
84,62764
20,39451
102,68
6,9475
94,1966
126,62214
28,458576
46,1620
21,37247
185,11130
13,9032
2,212778
156,11247
110,6795
47,2252
65,328425
100,384521
2,4257
24,40805
195,285783
83,15121
13,10312
65,3594
20,9489
196,49730
0,46705
22,157433
30,752623
87,10948
41,19912
2,274167
0,796
11,298618
21,9390
47,793
191,617653
26,27582
21,38408
177,8367
10,77016
66,1669
10,50348
0,228205
75,9362
0,167073
2,1621
40,2005
2,100042
37,504949
63,19959
6,785084
20,6557
13,180863
6,76025
99,664
10,59
16,263472
105,238615
6,1375
24,5174
117,399361
63,169
126,109451
4,96936
20,32856
0,1443
26,18487
10,109421
28,9334
2,3034
6,284293
1,30497
32,455980
66,1370
131,514847
6,4995
10,470
75,173897
127,6075
131,511987
105,531309
2,9506
102,818
6,462
20,10521
54,8967
2,12133
20,872
138,10022
35,8619
18,3050
184,82633
126,378236
70,766
20,9029
20,1934
12,68730
22,22804
97,119283
170,443791
26,249070
36,576845
30,9471
11,588228
43,1103
18,11283
66,714
53,756
0,8055
85,1904
177,9476
15,412117
120,9354
175,614934
10,582014
96,11430
6,600354
13,77930
94,9361
12,556984
70,765
20,9655
182,644495
22,10066
9,415842
46,12113
23,9714
5,303858
58,540901
6,525661
20,95610
43,8656
188,59965
24,112205
31,7840
198,158011
13,72113
6,132363
32,59108
21,37056
6,68722
18,10439
36,622
22,9792
36,8922
23,58224
71,400160
1,157547
63,1738
65,192
88,109491
36,1970
21,157386
37,8741
26,13809
72,9327
28,6978
18,2758
0,342470
43,8337
103,947
7,9992
66,657
180,23398
1,609
36,433808
20,9889
146,587792
36,406563
6,581734
9,9772
2,491418
46,619
89,249397
10,968
102,957
46,137094
128,41439
197,27573
82,1656
115,551332
18,9598
2,1542
0,43949
15,364689
36,44040
11,406759
127,43539
66,36643
20,5966
1,10585
18,10202
88,38117
30,35056
45,169917
26,241554
43,605116
142,429351
103,314095
188,13027
143,943
83,69
0,1278
12,7214
37,205
17,438799
134,421
23,1268
48,25
71,11836
198,429200
99,445651
26,449443
186,2310
2,4258
181,266647
32,261392
7,309809
55,2756
26,8068
1,4488
23,11007
103,978
65,26388
26,15092
2,193893
100,440
126,1267
18,531219
39,501929
57,7220
5,71859
96,431693
70,36685
20,9801
36,768
62,516486
145,403119
48,975
29,353070
6,103731
90,220289
120,7512
10,398181
192,8054
26,76640
21,80271
13,65057
2,49520
158,4442
11,9355
128,8643
21,339397
7,116711
95,3175
10,597208
84,420814
5,10734
78,1381
15,7484
66,10999
33,5123
108,452507
36,3597
2,257091
39,210860
104,2666
104,8413
20,225565
22,4513
1,242512
6,394117
20,9767
89,2044
51,74465
148,11024
42,46838
33,86829
5,210479
94,9477
66,52451
12,1887
20,20048
180,976573
133,665
33,555604
126,9473
33,786
20,384677
176,5236
6,393457
181,9593
128,313922
97,319
78,429300
20,459992
20,271718
21,712
26,9705
71,228326
15,533
128,398173
2,5
150,801
101,8204
22,9902
0,239571
22,417384
195,601666
25,594767
6,10637
13,308369
26,49527
29,9336
1,9373
194,388399
20,8874
20,565426
2,9614
184,600583
0,55787
112,227719
35,399360
65,49517
143,944
10,1580
9,379149
44,22894
12,321741
2,505600
65,9315
31,37958
1,14564
58,1574
22,306947
22,610253
79,62835
35,407436
79,395990
6,595
119,612
26,438650
50,17609
192,68737
70,9374
27,12144
36,882598
80,9279
21,2976
5,2652
28,8009
2,109443
16,192141
2,419680
90,505948
2,316023
65,638
88,58244
26,539885
198,521
58,9277
15,77174
148,493529
24,449562
173,4476
6,599
1,6466
78,365942
5,567748
151,171274
0,744275
63,9383
70,535581
26,9257
1,26466
12,115782
30,8584
36,83899
7,11319
6,228970
53,10567
70,928
138,14560
22,713704
2,9352
57,18533
126,587807
148,1832
12,339877
30,10204
1,335796
88,24420
116,361292
4,292011
103,5925
2,740985
15,459151
184,4512
0,38167
145,9360
6,11005
30,463272
2,2292
2,951
182,88794
126,9408
6,10316
33,502033
41,41436
10,77987
120,23048
58,282984
28,23047
94,522162
13,11545
18,888
10,1645
22,9003
28,9387
22,482373
21,416477
178,539537
58,2757
