cluster,id
31,27205
83,157336
37,155
31,19995
31,24428
28,293660
31,299536
2,550
31,118340
56,680
23,13
32,671
31,1726
33,68718
38,278
31,299534
79,603
0,597
20,475557
32,120
32,122
30,11324
48,106646
31,99861
31,271110
37,49026
31,68721
31,284054
32,284052
31,76341
24,16869
83,70160
31,315635
32,672
31,283995
32,121
31,1771
32,297761
32,673
32,10195
31,10138
37,272
31,284053
10,150540
19,135397
47,807
32,674
32,22
32,12445
31,11
32,297762
10,14160
31,102899
38,238
83,286217
83,105
31,140607
31,634649
32,675
32,767
79,263115
58,12
90,346364
14,245891
54,259316
32,12444
73,354912
31,100402
17,557
58,10681
30,210577
32,49051
62,585
10,862
98,281957
32,209112
77,8587
16,98
12,37165
6,9806
94,329865
32,76338
32,1930
4,381288
28,383498
4,694
57,24
31,101299
13,419430
75,205596
26,424694
38,497
50,198663
8,18785
31,1891
73,808
80,2062
76,207703
82,313369
49,109445
36,374720
10,269149
79,240832
83,329
20,274
15,321612
32,58
10,177572
56,75656
21,131631
79,335983
94,1124
53,6479
75,857
31,299537
57,339403
75,424
31,1892
31,429617
1,37724
53,49047
31,127585
31,333339
34,72190
38,640
31,330459
31,181808
31,49521
62,20352
32,558
63,324857
51,118
55,244786
20,1422
12,120467
62,10193
41,77
0,38
37,101
27,44214
50,752
31,1893
0,152601
32,285
32,122917
56,500
60,273248
39,348
99,10528
54,12155
32,1865
32,559
67,447332
32,297802
7,393
10,920
62,863
28,607
79,137113
64,1271
28,353486
53,78
31,1895
75,324786
70,8966
73,62177
31,363088
54,102651
0,274870
98,87827
94,264660
32,102382
94,335984
10,425
31,1894
31,141052
32,57158
12,466272
31,246655
12,194662
31,157350
36,190859
49,10191
6,260513
70,162
7,324552
31,49538
94,185
70,4922
50,218
83,165
50,280
38,769
20,64690
31,68726
31,131634
10,82690
70,141
72,72105
0,64682
10,277834
70,399055
99,85
3,19908
10,127380
0,296096
75,530915
0,398818
23,82693
73,809
31,14161
38,240
2,14
83,70981
2,37799
32,166426
22,546554
2,489
88,216015
23,350
38,103
55,332562
36,228150
31,1724
57,23483
79,2048
20,6977
50,61791
56,161
30,745
37,111
20,146233
2,73
4,138843
0,222935
0,11036
26,76203
83,62
50,49530
49,812
12,490132
58,38757
98,8358
31,36657
62,93456
10,9502
31,1858
54,601
14,8681
19,351286
22,115
50,119450
2,207
54,338952
14,562
7,291805
18,771
19,604
10,953
0,266856
20,242582
7,82992
31,75612
72,310
2,13223
7,168259
10,211672
1,36557
19,18
0,12405
58,62211
95,51876
1,206647
2,84892
54,8844
31,76600
54,411
19,2080
20,1359
8,45243
99,58574
7,337339
7,458156
32,293167
83,196
79,41154
19,294254
44,600
57,495764
57,64688
2,510
50,59967
20,629
47,1949
59,787
28,343668
4,578
51,1593
19,262500
0,453
80,508442
83,438631
38,359940
31,36658
72,854
32,283366
